added_rors	removed_rors	works_examples	OpenAlex Approve?
	04cnscd67	W4361299089	No
	00r8w8f84	W4327921884;W4353093953;W4296986240	No
	00r8w8f84	W4315780877	No
	04cnscd67	W4375851806	No
	00r8w8f84	W4313443371;W4310623283	No
	00r8w8f84	W4313215861	No
	00r8w8f84	W4313532548	No
	04cnscd67	W4320730948;W4378189333	No
	04cnscd67	W4378909228	No
	04cnscd67	W4378909228	No
	001q4kn48	W4385875612	No
	04cnscd67	W4377968314;W4386736586	No
	008axfh28	W4317423772	No
	008axfh28;03vdjbj89	W4317423772	No
	008axfh28;026tc4g97	W4317423772	No
	04cnscd67	W4386982049	No
	04cnscd67	W4316096494	No
	04cnscd67;03erkev52	W4323975051	No
	001q4kn48;03hypw319	W4378233241	No
	001q4kn48	W4378233241	No
	04cnscd67	W4323975051	No
	001q4kn48	W4378233241	No
	001q4kn48	W4387490693	No
	00r8w8f84	W4321240467;W4324053265	No
	04cnscd67	W4321595434;W4367355087;W4386737072;W4386735201;W4386735369	No
	001q4kn48;00r8w8f84;04cnscd67	W4362705033	Yes
	001q4kn48;018pp1107;04cnscd67;00r8w8f84	W4362705033	No
	001q4kn48;018pp1107;04cnscd67;00r8w8f84	W4362705033	No
	00r8w8f84	W4311903915;W4353093953	No
	04cnscd67;03erkev52	W4321595434	No
	03xc55g68;00r8w8f84	W4311903915;W4386112539	No
	00r8w8f84;03xc55g68	W4353093953	No
	04cnscd67	W4366983716;W4381054411	No
	00r8w8f84	W4295922479	No
	00r8w8f84	W4383997423	No
	018pp1107	W4362705033	Yes
	018pp1107	W4362705033	Yes
	018pp1107	W4328022229	Yes
	018pp1107	W4379387020	Yes
	018pp1107	W4379387020	Yes
	018pp1107	W4385989946	Yes
	018pp1107	W4385989946	Yes
	018pp1107	W4391089492	Yes
	018pp1107	W4391157213	Yes
	018pp1107	W4362518867;W4362519329;W4382751076	Yes
	018pp1107	W4385980757	Yes
	018pp1107	W4386541999	Yes
	018pp1107	W4379387020	Yes
	018pp1107	W4379387020	Yes
	018pp1107	W4382059278	Yes
	018pp1107	W4386541999	Yes
059jx7q58	05c2qg481	W4366222107	Yes
059jx7q58		W4386723154	Yes
059jx7q58		W4387394172	Yes
059jx7q58		W4388376622	Yes
059jx7q58		W4365135886	Yes
059jx7q58		W4389763869	Yes
059jx7q58		W4318464499	Yes
		W4382919521	No
059jx7q58		W4387533133	Yes
059jx7q58		W4388761066	Yes
059jx7q58		W4389137880	Yes
059jx7q58		W4389341372	Yes
	02hxmqn30	W4389132308;W4389132399;W4389132840;W4389132376;W4389132364;W4389132400;W4389132380	Yes
	042dc0x18	W4206865753;W4206852749;W2765081049;W2766754978	Yes
	007xqmx73	W4381308055	Yes
	007xqmx73	W4381308055	Yes
	007xqmx73	W4387497897	Yes
02vnd0e65	04hjc7403	W2541577471;W2683995841;W2888020816;W2796140378;W2898256821;W2763948697;W2963162615;W2785654520;W2807766772;W3103815016	Yes
02vnd0e65	02feahw73;02en5vm52	W2895620757;W2972118976	Unsure
02vnd0e65	03ab0zs98;04hjc7403;05a0dhs15	W2950198983;W2809809415;W3106273873;W3163819889	No
02vnd0e65	03ab0zs98;04hjc7403;05a0dhs15	W2726822844;W1859871475;W3101826436;W3011391706;W4366459374	No
02vnd0e65	04hjc7403	W3004258540;W2809538965	Yes
02vnd0e65	02feahw73;04hjc7403	W2580398375;W4368755140;W4386794684;W4390855165	No
02vnd0e65	04zaaa143	W4297849123;W4300064633;W4376616739;W4286825250;W4297964144;W2948083739;W4304111899;W2939803436;W4288412749	Yes
02vnd0e65	02en5vm52	W3122213596;W3162549490;W3141912010;W4290646416;W4366958443;W4321052508;W4360593243;W3125456621	No
02vnd0e65	02feahw73;02en5vm52	W2891199867;W2936420023;W3137381002	No
02vnd0e65	02en5vm52	W2963055759;W3119565752;W4285147827;W3093967510;W4389404256;W4389404265;W4389402805;W4389404263;W4389404237;W4389404266	No
02vnd0e65	04hjc7403;055khg266	W4298204915;W4307361619;W4327993062;W4385261010	Yes
02vnd0e65		W3037530370;W3027653538;W2955759855;W3169634794	Yes
02vnd0e65	02en5vm52	W4285553615;W3180089594;W3207302232;W3128853172	No
02vnd0e65	02en5vm52	W4256674982;W4311388871;W4312456639;W4312731827;W3152416360	No
02vnd0e65	02en5vm52	W3216123052;W4251873756;W3215156761;W4229905712;W4238619526;W4244641214;W4236713484;W4236732518;W4244892619;W4254300322	No
02vnd0e65	02en5vm52	W3034648722;W3006622384;W4384704791;W4313388564	No
02vnd0e65	02feahw73;02en5vm52	W3185337422;W4321497850;W4386327202	Unsure
	007xqmx73	W4387497897	Yes
033p9g875	054qv7y42	W4308558156	Yes
	033p9g875	W4229059806;W4223890768	Yes
	033p9g875	W4308753009;W4313880652	Yes
	033p9g875	W4225322562;W4225318110	Yes
	033p9g875	W4284693594;W4366814791	Yes
	033p9g875	W4311832856;W4311832857;W4366814779;W4366814795;W4366814799	Yes
	02mn0vt57	W2065347132	Yes
	02mn0vt57	W4210689135	Yes
02kbmgc12		W4389892098	Yes
02kbmgc12		W4321491209	Yes
	02mn0vt57	W2065347132	Yes
	02mn0vt57	W4210689135	Yes
	02mn0vt57	W2065347132	Yes
	02mn0vt57	W4210689135	Yes
	02mn0vt57	W2046147222	Yes
	02mn0vt57	W2765538704;W3048322424	Yes
			No
	02mn0vt57	W2915662625	Yes
	02mn0vt57	W3048322424	Yes
	02mn0vt57	W3048322424	Yes
	02mn0vt57	W3176768176	Yes
	02mn0vt57	W3176768176	Yes
	02mn0vt57	W3176768176	Yes
	03z6jp965	W2510274031;W4390746057;W4392261531;W3193959698;W4391489619;W4396527616;W4393074310	Yes
	02en5vm52	W4390666034;W4396643768;W4394726997	No
	02en5vm52	W4388901053;W4391035691;W4391811119	No
05a0dhs15	01dp7jr64	W4396703990;W4392956011;W4392955966	Unsure
	0121jnt59	W4391028770;W4391028743;W4391028817;W4390797110	Unsure
02en5vm52		W4391028971;W4391045547;W4391028443;W4391029242;W4391040569	Yes
05neq8668		W4396833289;W4396832725;W4393970563	Yes
02en5vm52		W4394811660;W4394812390;W4394806454	Yes
02zzf0m94		W4393040139;W4393040106;W4393039881	Yes
02en5vm52		W4395093900;W4395093950;W4395093953;W4395093914	Yes
	018pp1107	W4362705033	Yes
	018pp1107	W4362705033	Yes
	018pp1107	W4328022229	Yes
	018pp1107	W4377289505;W4389339343;W4388500177	Yes
	018pp1107	W4377289505	Yes
	018pp1107	W4379387020	Yes
	018pp1107	W4379387020	Yes
	018pp1107	W4327859582	Yes
	04cnscd67	W4382059278	Yes
	018pp1107	W4386541999	Yes
	018pp1107	W4387823882	Yes
	018pp1107	W4387823882	Yes
	01bv0ma93;031ah7413	W4378639221;W4378639325;W4378639093	Yes
00fh1dw28	02fke9256	W4318022761;W4313549208;W4226094586;W4377092901;W4362591543;W4385889545;W4386261349;W4389419387	Yes
00fh1dw28	02fke9256	W4313595083;W4313703187;W4389101041	Yes
00fh1dw28	02fke9256	W4368362613	Yes
00fh1dw28	02fke9256	W4379877946	Yes
00fh1dw28	02fke9256	W4382467000;W4387618017;W4389598062;W4389598078;W4389813077	Yes
00fh1dw28	02fke9256	W4382467000;W4388785818	Yes
00fh1dw28	02fke9256	W4382467000;W4226094586;W4383101887	Yes
00fh1dw28	02kzqn938;02fke9256	W4385437911;W4380851812;W4384163656;W4386570162	Yes
00fh1dw28	02fke9256	W4226094586	Yes
00fh1dw28	02fke9256	W4386701650	Yes
00fh1dw28	02fke9256	W4317702634	Yes
00fh1dw28	02fke9256	W4317702634	Yes
00fh1dw28	02fke9256	W4322715824	Yes
00fh1dw28	02fke9256	W4362557407	Yes
00fh1dw28	02fke9256	W4367056797	Yes
00fh1dw28	02fke9256	W4385213936	Yes
00fh1dw28	02fke9256	W4383890580	Yes
00fh1dw28	02fke9256	W4385660966	Yes
00fh1dw28	02fke9256	W4386127601	Yes
00fh1dw28	02fke9256	W4386864144	Yes
00fh1dw28	02fke9256	W4388445540	Yes
00fh1dw28	02fke9256	W4388785818;W4388926999	Yes
00fh1dw28	02fke9256	W4389362127	Yes
00fh1dw28	02fke9256	W4390029145;W4390029160;W4390400977	Yes
	04v837171	W4220782599	Yes
	04v837171	W4281491977	Yes
	04v837171	W4205548391	Yes
	04v837171	W4205548391	Yes
	04v837171	W4205548391	Yes
	04v837171	W4296161843	Yes
	04v837171	W4284883076	Yes
	04v837171	W4284883076	Yes
00b1crx81	05ecjav59;04v837171	W4306850154	Yes
	01et00j38;02bkc9a40	W4306850154	Yes
04v837171		W4214805541	Yes
	04v837171	W4312882333	Yes
	04v837171	W4367671817	Yes
04v837171		W4388523033	Yes
	04v837171	W4386802516	Yes
	022m8c549	W4320710250	Yes
	022m8c549	W4378232614	Yes
	022m8c549	W4386423747	Yes
	022m8c549	W4362705658	Yes
	022m8c549	W4376870539	Yes
	022m8c549	W4386865424	Yes
	022m8c549	W4367320888	Yes
	022m8c549	W4376874409	Yes
	022m8c549	W4376879832	Yes
	022m8c549	W4385268207	Yes
	022m8c549	W4385979056	Yes
	022m8c549	W4386547014	Yes
	022m8c549	W4391856340	Yes
	022m8c549	W4392596548	Yes
	022m8c549	W4389705122	Yes
	022m8c549	W4392927392	Yes
	022m8c549	W4288520684	Yes
	022m8c549	W4291635035	Yes
	022m8c549	W4283524545	Yes
	022m8c549	W4293294612	Yes
	022m8c549	W4293294612	Yes
	022m8c549	W4309710823	Yes
	022m8c549	W4280547903	Yes
	022m8c549	W4225120357	Yes
	022m8c549	W4307813221	Yes
	022m8c549	W4308771240	Yes
	022m8c549	W4321441218	Yes
	022m8c549	W4321441218	Yes
	022m8c549	W4310375973	Yes
	022m8c549	W4221073602	Yes
	022m8c549	W3157738548	Yes
	022m8c549	W4200279750;W4223948974	Yes
017wv6808	022m8c549	W4224310818	Yes
	022m8c549	W4288520684	Yes
	022m8c549	W4291635035	Yes
	022m8c549	W4283524545	Yes
	022m8c549	W4293294612	Yes
	022m8c549	W4293294612	Yes
	022m8c549	W4309710823	Yes
	022m8c549	W4280547903	Yes
	022m8c549	W4225120357	Yes
	022m8c549	W4307813221	Yes
	022m8c549	W4308771240	Yes
	022m8c549	W4321441218	Yes
	022m8c549	W4321441218	Yes
	022m8c549	W4310375973	Yes
	022m8c549	W4221073602	Yes
	022m8c549	W3157738548	Yes
	022m8c549	W4200279750;W4223948974	Yes
017wv6808	022m8c549	W4224310818	Yes
	022m8c549	W3120666205	Yes
	022m8c549	W3154604074	Yes
01shz5j60	044yd5h03	W3122067166	Yes
	022m8c549	W3130996074	Yes
	018zj0h25	W3123726072;W3160949903;W4285480279	Yes
	022m8c549	W3171477940	Yes
	022m8c549	W3146417178	Yes
	022m8c549	W3158368578	Yes
	022m8c549	W4206527799	Yes
	022m8c549	W3194586768;W4394974541	Yes
	022m8c549	W4200622317	Yes
	022m8c549	W3129216834	Yes
00ftatp57	018zj0h25	W3213895109	No
	022m8c549	W2783936720;W2883217704;W4318717290;W2902717024;W3123266334;W4318717348;W3091762818	Yes
	022m8c549	W2765219632	Yes
	022m8c549	W2808828253;W2918310243	Yes
	01b436806	W2800790473	Yes
	022m8c549	W2883378224	Yes
	022m8c549	W2884141915	Yes
	022m8c549	W2884141915	Yes
	02q1spa57	W2885136215	Yes
	022m8c549	W2783055481	Yes
	022m8c549	W2783055481	Yes
	022m8c549	W2886746269	Yes
	022m8c549	W2891288620	Yes
	022m8c549	W2899694775	Yes
	022m8c549	W2985894258	Yes
	042kgb568;03ezrv005	W3086658239	Yes
	022m8c549	W4239722978;W2946510691	Yes
00ftatp57	018zj0h25	W4289670095;W4288107501;W4288616797	Yes
	022m8c549	W4318717290;W4318717348	Yes
	022m8c549	W2976556677	Yes
020g0rw41		W2925711247	Yes
020g0rw41		W3043655551	Yes
	022m8c549	W2985217042	Yes
020g0rw41		W3033107982	Yes
	022m8c549	W2989763239	Yes
	022m8c549	W2901294512	Yes
	022m8c549	W3195485151	Yes
	022m8c549	W3195518528	Yes
	022m8c549	W3195518528	Yes
	022m8c549	W3195518528	Yes
	022m8c549	W3024902700	Yes
02wj89n04	022m8c549	W2919786399	No
	022m8c549	W2989542650	Yes
	022m8c549	W2946635507;W3094409940	Yes
	022m8c549	W4394947526	Yes
	022m8c549	W3024902700	Yes
	022m8c549	W3028945897	Yes
00ftatp57	018zj0h25	W2990381835	Unsure
	022m8c549	W3085987592	Yes
	022m8c549	W3054469638	Yes
01shz5j60		W3102408824	Yes
01gyxrk03		W4366147545;W4391230940;W4393057049;W4391556983;W4390935605	Yes
010567a58		W4390619123;W4393998030	No
010567a58		W4390619123;W4393998030	No
	05fe7ax82	W4396712240;W4396811927;W4393279257	Yes
010567a58		W4395000660;W4395024175;W4395016428	No
01gyxrk03	04n8sc212	W4388486925;W4391482168;W4392859994	Yes
01gyxrk03	012hpz460	W4388883785;W4387722505	Yes
01gyxrk03		W4391022468;W4391896254	Yes
01gyxrk03		W4391022468;W4391896254	Yes
010567a58		W4388948446;W4388948317	No
01gyxrk03		W4388845494;W4391940415	Yes
010567a58		W4394963977;W4394920252	No
01gyxrk03		W4294596641;W4392804776;W4391076418;W4391076425	Yes
01gyxrk03		W4392899393;W4391299253;W4286377360;W4390896492;W4391243578;W4390935170;W4390867674	Yes
01gyxrk03		W4392574732;W4390865053	Yes
01gyxrk03		W4391940256;W4390822516;W4392021053	Yes
01gyxrk03;010567a58	02dg3n954	W4390961630;W4391013481	No
01gyxrk03	020cdve92	W4391709243;W4390932044;W4310541833	Yes
01gyxrk03		W4391579971;W4391463296;W4391505038;W4391909990;W4391505037;W4392719081	Yes
01gyxrk03		W4391334012;W4391334002;W4386554508	Yes
01gyxrk03	05ft43x45	W4391157338;W4390958702;W4390958763;W4390958766;W4391245904	Yes
	05sp73k66	W4386304782	Yes
02xq0x374		W4391611962	Yes
04wm52x94		W2799419845	Yes
02w4exq36		W2800936110	Yes
0024c1w94	02gg8z294	W2903739045	Yes
02w4exq36		W2903739045	Yes
01pd2sz18	01e7wth34	W4289372619	Yes
	02bn55144	W2945720445	Yes
048bnmc64		W2969154550	Yes
		W2885870360	No
02w4exq36		W3091855367	Yes
033x0mt18		W3090828524	Unsure
048bnmc64		W3135825524	Yes
02w4exq36		W3216790951	Yes
01gyxrk03		W4366147545;W4391230940;W4393057049;W4391556983;W4390935605	Yes
032v67m28		W4391705197	Yes
032v67m28	02hr3zx73	W4396625233	No
032v67m28	02hr3zx73	W4396625233	No
	05fe7ax82	W4396712240	Yes
	05fe7ax82	W4396712240;W4396811927;W4393279257	Yes
	020cdve92	W4391939875	Yes
032v67m28	02hr3zx73	W4390659878	No
	05fe7ax82	W4392847455	Yes
01c62av11		W4396643844	No
01c62av11		W4396643844	Yes
032v67m28	02hr3zx73	W4396521348	No
01c62av11		W4393342301	Yes
01gyxrk03		W4392716384	Yes
01gyxrk03	04n8sc212	W4388486925	Yes
01gyxrk03	04n8sc212	W4388486925;W4391482168;W4392859994	Yes
01gyxrk03	012hpz460	W4388883785;W4387722505	Yes
01gyxrk03		W4391022468;W4391896254	Yes
01gyxrk03		W4391022468;W4391896254	Yes
01gyxrk03		W4388948446;W4388948317	Yes
01gyxrk03		W4392899393;W4391299253;W4286377360;W4390896492;W4391243578;W4390935170;W4390867674	Yes
01gje7n16		W4388082011	Yes
01gyxrk03		W4392574732;W4390865053	Yes
02a9mrq41		W4390584433	Yes
05ewvzm89;010567a58		W4391850634	No
01gyxrk03		W4388883841;W4391929309	Yes
010567a58		W4391850634	No
010567a58		W4391850634	No
01gyxrk03		W4388845494;W4391940415	Yes
01gyxrk03		W4391940256;W4390822516;W4392021053	Yes
010567a58		W4392247501	No
010567a58		W4392247501	No
010567a58		W4392247501	No
	00mpxgs49	W4391958947	Yes
01gyxrk03	02dg3n954	W4390961630;W4391013481	Yes
	05fe7ax82	W4393301419;W4393301446	Yes
	00b4yme84	W4388754831	Yes
032v67m28	02hr3zx73	W4393969696	Yes
032v67m28	02hr3zx73	W4393969696	Yes
032v67m28	02hr3zx73	W4393969696	Yes
01gyxrk03		W4366147545;W4391230940;W4393057049;W4391556983;W4390935605	Yes
032v67m28		W4391705197	Yes
032v67m28	02hr3zx73	W4396625233	Yes
032v67m28	02hr3zx73	W4396625233	Yes
	05fe7ax82	W4396712240	Yes
	05fe7ax82	W4396712240;W4396811927;W4393279257	Yes
	020cdve92	W4391939875	Yes
032v67m28	02hr3zx73	W4390659878	Yes
	05fe7ax82	W4392847455	Yes
01c62av11		W4396643844	No
01c62av11		W4396643844	Yes
032v67m28	02hr3zx73	W4396521348	No
01c62av11		W4393342301	Yes
01gyxrk03		W4392716384	Yes
01gyxrk03	04n8sc212	W4388486925	Yes
01gyxrk03	04n8sc212	W4388486925;W4391482168;W4392859994	Yes
01gyxrk03	012hpz460	W4388883785;W4387722505	Yes
01gyxrk03		W4391022468;W4391896254	Yes
01gyxrk03		W4391022468;W4391896254	Yes
01gyxrk03		W4388948446;W4388948317	Yes
	01sjmsj73	W4391057805	Yes
01gje7n16		W4388082011	Yes
01gyxrk03		W4390890204	Yes
02a9mrq41		W4390584433	Yes
05ewvzm89;010567a58		W4391850634	No
032v67m28	02hr3zx73	W4396873225	Yes
010567a58		W4391850634	No
010567a58		W4391850634	No
01gyxrk03		W4388845494;W4391940415	Yes
032v67m28		W4392638980	Yes
010567a58		W4392247501	No
010567a58		W4392247501	No
010567a58		W4392247501	No
	00mpxgs49	W4391958947	Yes
032v67m28		W4392638980	Yes
	05fe7ax82	W4393301419;W4393301446	Yes
	00b4yme84	W4388754831	Yes
032v67m28	02hr3zx73	W4393969696	No
032v67m28	02hr3zx73	W4393969696	No
032v67m28	02hr3zx73	W4393969696	No
01d5v2p67		W4378783195	Yes
01d5v2p67		W4379806298	Yes
036rp1748	012mm7y56	W4319963785	Yes
036rp1748	012mm7y56	W4319963785	Yes
036rp1748	00txxwv34	W4385401825	No
036rp1748	02cnnsp10	W4385438938	Yes
036rp1748	012mm7y56	W4389801180	No
036rp1748		W4390629364	Yes
036rp1748		W4392886207	No
032v67m28		W4375859319;W4389648142;W4390387755	Yes
032v67m28	00vxck708	W4362641716	Yes
032v67m28		W4391800305;W4391800494	Yes
0262br971		W4361222535	Yes
0262br971	04zr5ey71;00txxwv34	W4385899677	No
04je6yw13		W4321795810	Yes
	00b80ez59	W3211877692;W3214522384	Yes
	012mm7y56	W2783723506	Yes
	012mm7y56	W2783723506	Yes
	012mm7y56	W2883391055	Yes
01kmz4383		W2883391055	Yes
	00b80ez59	W2806280625	Yes
036rp1748		W2789674933	Yes
01kmz4383	03dj0nw15	W2912919478	Yes
036rp1748		W2985078306;W3020842538;W3185181394;W4206981146	No
	00txxwv34	W2976491649;W3007118870;W3017280288;W2983998700;W3045510691	Yes
036rp1748	00txxwv34	W3033793346;W3017280288	No
036rp1748		W3017280288;W3012545470	No
020nks034		W2996679149	Yes
01kmz4383		W2987649140	Yes
	02cnnsp10	W3085079564	Yes
036rp1748	00987cb86	W3037261952	No
032v67m28		W4395476127	Yes
	04fh21g11	W3213057624	Yes
05deqk823	00b80ez59	W3127760675	Yes
036rp1748		W3125699181;W3161656864;W3156235392	No
01nfvkq89		W4384817613	Yes
00ftatp57	0000n5x09	W4366227689;W4380202760;W4384208049;W4317207984;W4386793974	Yes
00ftatp57	0000n5x09	W4360992146	Yes
00ftatp57	0000n5x09	W4380202760	Yes
00ftatp57;033x0mt18	0000n5x09	W4379517179	Yes
00ftatp57	0000n5x09	W4387034158;W4394734931	Yes
01nfvkq89		W4390110505	Yes
00ftatp57	0000n5x09	W4393184126	Yes
00ftatp57	0000n5x09	W4393184126	Yes
00ftatp57	0000n5x09	W2788111692;W2895175069;W2757936303;W2796125998;W2910276146;W2904201799;W2921741176;W2922207711;W3026099478	Yes
003qhrc72		W2900670057	Yes
01nfvkq89		W2901769673	Yes
00ftatp57;01pd2sz18	0000n5x09	W2910276146;W3126949377	Yes
01nfvkq89		W3085015774;W3085352420;W3084611083;W4288019488;W4288280122;W4288335072	Yes
01nfvkq89		W3086518525;W4387295899	Yes
00ftatp57	0000n5x09	W2902177268	Unsure
04jm8zw14		W2913027442	Yes
00ftatp57	0000n5x09	W3019760655	Yes
00ftatp57	0000n5x09	W3082190152	Yes
00b80ez59		W3038771773	Yes
03gmkya61		W3002411614	Yes
03whgj090		W2996221250	Yes
00ftatp57	0000n5x09;03573dx38	W3063611080;W4395022777	No
01nfvkq89		W3216722841	Yes
02fke9256		W3130823450	Yes
01nfvkq89	00txxwv34	W3204128034	Yes
01nfvkq89	00txxwv34	W3204128034	Yes
03gmkya61		W3123751978	Yes
01nfvkq89		W3138300454	Yes
0458hw939	026tc4g97	W3163658595;W4289778975	Yes
00ftatp57	0000n5x09	W4283009949;W4307813221;W4295813301;W4387229115;W4395022777	Yes
	054qv7y42	W4281554324	Yes
	054qv7y42	W4281554324	Yes
	05fe7ax82	W4225134081;W4288034192;W4214695519	Yes
	05fe7ax82	W4206306941;W4393205430;W4387661494;W4388224947;W4390062603;W4396944050	Yes
	05fe7ax82	W4288034192	Yes
	05fe7ax82	W4288034192	Yes
	05fe7ax82	W4293678083	Yes
	05fe7ax82	W4205388138;W4212877740	Yes
	05fe7ax82	W4224232375	Yes
	05fe7ax82	W4224232375	Yes
	05fe7ax82	W4283730355	Yes
	05fe7ax82	W4283730355	Yes
	05fe7ax82	W4312002885	Yes
	05fe7ax82	W4392381878	Yes
